Customer_Id,Customer_City,Customer_Country,Customer_Fname,Customer_Lname,Customer_Segment,Customer_State,Customer_Street,Customer_Zipcode,Latitude,Longitude
3296,Caguas,Puerto Rico,Mary,Smith,Home Office,PR,8205 Silver Grove Row,725,18.23466301,-66.37059784
3182,Caguas,Puerto Rico,Frances,Smith,Home Office,PR,7786 Middle Private,725,18.26268196,-66.37049866
7864,Caguas,Puerto Rico,Alice,Smith,Home Office,PR,4294 High Passage,725,18.28279495,-66.37055969
11169,Caguas,Puerto Rico,Kyle,Thomas,Home Office,PR,5274 Easy Beach,725,18.27466202,-66.37058258
5197,Caguas,Puerto Rico,Brenda,Jordan,Home Office,PR,4692 Jagged Thicket,725,18.2689991,-66.37049866
1535,Caguas,Puerto Rico,Frank,Livingston,Home Office,PR,5161 Crystal Quail Jetty,725,18.2308178,-66.37052155
6122,Caguas,Puerto Rico,Johnny,Smith,Home Office,PR,1465 Round Fawn Passage,725,18.26138115,-66.37056732
9451,Caguas,Puerto Rico,Mary,Smith,Home Office,PR,5723 Cinder Loop,725,18.23650742,-66.37051392
542,Caguas,Puerto Rico,Mary,Smith,Home Office,PR,2991 Silent Deer Landing,725,18.35921478,-66.07779694
11329,Caguas,Puerto Rico,Hannah,Smith,Home Office,PR,5086 Emerald Fox Farms,725,18.29944229,-66.37052155
3570,Caguas,Puerto Rico,Mary,Nelson,Home Office,PR,3909 Hidden Treasure Beach,725,18.28996849,-66.37054443
650,Caguas,Puerto Rico,Austin,Sexton,Home Office,PR,4691 Cinder Crest,725,18.2275734,-66.04563141
9353,Caguas,Puerto Rico,Michael,Scott,Home Office,PR,5703 Tawny Creek Townline,725,18.2988205,-66.37059784
54,Caguas,Puerto Rico,Mary,Olson,Home Office,PR,7333 Cinder Way,725,18.02538109,-66.61508179
12151,Caguas,Puerto Rico,Vincent,Krueger,Home Office,PR,9404 Heather Bluff Dale,725,18.25048637,-66.37062836
10018,Caguas,Puerto Rico,Gregory,Rodriguez,Home Office,PR,1632 Green Fawn Corners,725,18.24069786,-66.37055969
4936,Caguas,Puerto Rico,Kyle,Smith,Home Office,PR,8344 Noble Mountain Gate,725,18.21209908,-66.37050629
8707,Caguas,Puerto Rico,Lisa,Smith,Home Office,PR,7208 Bright Landing,725,18.23131371,-66.37062836
1025,Caguas,Puerto Rico,Megan,Todd,Home Office,PR,1393 Umber Sky Estates,725,18.29652023,-66.04867554
8831,Caguas,Puerto Rico,Mary,Smith,Home Office,PR,8165 Red Lane,725,18.28746414,-66.37054443
10679,Caguas,Puerto Rico,Mary,Smith,Home Office,PR,331 Grand Orchard,725,18.29108048,-66.37050629
5007,Caguas,Puerto Rico,Mary,Smith,Home Office,PR,2264 Thunder Abbey,725,18.24984551,-66.37050629
9854,Caguas,Puerto Rico,Mary,Smith,Home Office,PR,9082 Merry Lookout,725,18.25671768,-66.37062836
376,Caguas,Puerto Rico,Grace,Sanchez,Home Office,PR,6468 Fallen Close,725,18.24754334,-66.0253067
5417,Caguas,Puerto Rico,Dennis,Meyer,Home Office,PR,7342 Hidden Walk,725,18.27673721,-66.37055206
10759,Caguas,Puerto Rico,Douglas,Smith,Home Office,PR,577 Rustic Nectar Row,725,18.2968483,-66.37050629
8541,Caguas,Puerto Rico,Mary,Smith,Home Office,PR,5700 Little Circle,725,18.29609299,-66.37050629
3752,Caguas,Puerto Rico,Mary,Vega,Home Office,PR,7840 Umber Sky Villas,725,18.2105732,-66.37058258
4673,Caguas,Puerto Rico,Wayne,Hodges,Home Office,PR,7509 Iron Concession,725,18.20111656,-66.37059021
5367,Caguas,Puerto Rico,Mary,Mccormick,Home Office,PR,2199 Silver Autumn Key,725,18.21469116,-66.37051392
10485,Caguas,Puerto Rico,Mary,Smith,Home Office,PR,9470 Shady View Bend,725,18.28425598,-66.37058258
9272,Caguas,Puerto Rico,Ronald,Blackwell,Home Office,PR,9366 Silent Nectar Highway,725,18.20666885,-66.37056732
647,Caguas,Puerto Rico,Mary,Rios,Consumer,PR,4167 Stony Extension,725,18.35907555,-66.07783508
6398,Caguas,Puerto Rico,Tammy,Smith,Consumer,PR,7370 Sleepy Way,725,18.26378822,-66.37052918
4209,Caguas,Puerto Rico,Mary,Lara,Consumer,PR,1613 Broad Beach,725,18.20330429,-66.37052155
8917,Caguas,Puerto Rico,Mary,Smith,Consumer,PR,4992 Jagged Forest Subdivision,725,18.22487068,-66.37052155
7784,Caguas,Puerto Rico,Mary,Smith,Consumer,PR,3216 Red Glade,725,18.25061035,-66.37062836
1425,Caguas,Puerto Rico,Christina,Harvey,Consumer,PR,3481 Crystal Campus,725,18.27340317,-66.37052155
2737,Caguas,Puerto Rico,Mary,Smith,Consumer,PR,5424 Rustic Anchor Boulevard,725,18.29137993,-66.3705368
6428,Caguas,Puerto Rico,Mary,Smith,Consumer,PR,3567 Heather Knoll,725,18.24738884,-66.37057495
6543,Caguas,Puerto Rico,Alexander,Smith,Consumer,PR,7958 Thunder Apple Street,725,18.27920532,-66.37055206
3990,Guayama,Puerto Rico,Sandra,Smith,Consumer,PR,6496 Harvest Highlands,784,17.98249054,-66.1126709
8524,Caguas,Puerto Rico,Ruth,Farrell,Consumer,PR,1453 Lazy Cider Hill,725,18.24496079,-66.3705368
9204,Caguas,Puerto Rico,Mary,Harris,Consumer,PR,8713 Quaking Abbey,725,18.28453636,-66.37060547
11761,Caguas,Puerto Rico,Lauren,Coleman,Consumer,PR,1285 Noble Pointe,725,18.28339195,-66.37051392
9554,Caguas,Puerto Rico,Mary,Hayes,Consumer,PR,6314 Honey Canyon,725,18.22172546,-66.37059021
5118,Caguas,Puerto Rico,Mary,Smith,Consumer,PR,1388 Blue Turnabout,725,18.25333214,-66.37051392
5506,Caguas,Puerto Rico,Gregory,Smith,Consumer,PR,1122 Old Fox Lookout,725,18.22976875,-66.37052918
1423,Caguas,Puerto Rico,Mary,Day,Consumer,PR,257 Iron Elk Maze,725,18.22978401,-66.37054443
138,Caguas,Puerto Rico,Mary,Dawson,Consumer,PR,9544 Noble Spring Route,725,18.22758102,-66.04357147
6360,Caguas,Puerto Rico,Mary,Phillips,Consumer,PR,7094 Misty Wynd,725,18.22297287,-66.37059021
2053,Caguas,Puerto Rico,Ronald,Smith,Consumer,PR,1025 Colonial Plaza,725,18.24120712,-66.37050629
10344,Juana Diaz,Puerto Rico,Mary,Smith,Consumer,PR,2839 Grand Timber Canyon,795,18.05199051,-66.50184631
3375,Caguas,Puerto Rico,Mary,Sanchez,Consumer,PR,6174 Wishing Front,725,18.20664215,-66.37052918
1339,Caguas,Puerto Rico,Melissa,Mack,Consumer,PR,9447 Dusty Gate Centre,725,18.27825165,-66.37059784
7247,Caguas,Puerto Rico,Mary,Smith,Consumer,PR,6401 Shady Embers Farms,725,18.22776032,-66.37059021
1273,Caguas,Puerto Rico,Maria,Evans,Consumer,PR,595 Indian Path,725,18.2362442,-66.37062073
6277,Caguas,Puerto Rico,Eugene,Smith,Consumer,PR,1820 Noble Elk Harbour,725,18.21949196,-66.37052918
7701,Caguas,Puerto Rico,James,Lawson,Consumer,PR,1577 Green Vista,725,18.25289154,-66.37058258
4126,Caguas,Puerto Rico,John,Stokes,Consumer,PR,9920 Little Lane,725,18.22985077,-66.37062073
9528,Caguas,Puerto Rico,Mary,Flores,Consumer,PR,3089 Gentle Horse Chase,725,18.22190094,-66.37052155
1853,Caguas,Puerto Rico,Mary,Austin,Consumer,PR,4090 Colonial End,725,18.26019096,-66.37052918
11149,Caguas,Puerto Rico,Roy,Smith,Consumer,PR,4601 Amber Grove Hollow,725,18.28128624,-66.37050629
5828,Caguas,Puerto Rico,Katherine,Oconnell,Consumer,PR,2127 Middle Goose Mews,725,18.21101761,-66.37052918
6887,Caguas,Puerto Rico,Mary,Smith,Consumer,PR,8840 Harvest Towers,725,18.22019768,-66.37058258
4781,Caguas,Puerto Rico,Janet,Smith,Consumer,PR,8617 Cinder Mountain Forest,725,18.25534058,-66.37050629
10668,Caguas,Puerto Rico,Mary,Smith,Consumer,PR,5087 Crystal Hills Manor,725,18.23215866,-66.37059021
5421,Caguas,Puerto Rico,Mary,Carlson,Consumer,PR,1548 Lazy Place,725,18.20737648,-66.37055206
10200,Caguas,Puerto Rico,Nicole,Smith,Consumer,PR,9009 Merry Nectar Heights,725,18.27331543,-66.37060547
11254,Caguas,Puerto Rico,Sharon,Smith,Consumer,PR,4316 Misty Way,725,18.2626648,-66.3706131
11106,Caguas,Puerto Rico,Mary,Navarro,Consumer,PR,6324 Lazy Lane,725,18.26016426,-66.37059021
8456,Caguas,Puerto Rico,Mary,Smith,Consumer,PR,9198 Rocky Run,725,18.24535179,-66.37059784
6149,Caguas,Puerto Rico,Matthew,Bush,Consumer,PR,5736 Heather Byway,725,18.21775055,-66.37060547
1473,Caguas,Puerto Rico,Anthony,Young,Consumer,PR,7334 Umber Expressway,725,18.29214859,-66.3706131
1840,Caguas,Puerto Rico,Jerry,Smith,Consumer,PR,427 Grand Branch Hill,725,18.26737404,-66.37062836
6757,Caguas,Puerto Rico,Mary,Freeman,Consumer,PR,2035 Lazy Diversion,725,18.29659462,-66.37059021
3972,Caguas,Puerto Rico,Laura,Bennett,Consumer,PR,4520 Grand Port,725,18.27468491,-66.37056732
9316,Caguas,Puerto Rico,Megan,Sanders,Consumer,PR,7489 Green End,725,18.21944618,-66.37057495
11213,Caguas,Puerto Rico,Mary,Black,Consumer,PR,620 Thunder Creek Towers,725,18.23975563,-66.37059021
3474,Caguas,Puerto Rico,Jack,Hatfield,Consumer,PR,555 Lazy Robin Freeway,725,18.2643261,-66.37060547
14630,Caguas,Puerto Rico,Kirestin,Barr,Consumer,PR,4722 Round Embers Falls,725,18.27085495,-66.03705597
13256,Caguas,Puerto Rico,Nora,Downs,Consumer,PR,1836 Cozy View Orchard,725,18.23665237,-66.0370636
14665,Caguas,Puerto Rico,Jennifer,Stokes,Consumer,PR,5257 Umber Field,725,18.28206062,-66.03705597
13363,Caguas,Puerto Rico,Madonna,Ingram,Consumer,PR,9079 Dewy Deer Harbour,725,18.21524239,-66.03705597
14645,Caguas,Puerto Rico,Noelani,Hyde,Consumer,PR,1284 High Apple Highlands,725,18.25598526,-66.03705597
13163,Caguas,Puerto Rico,Sydnee,Nolan,Consumer,PR,9816 Grand Hills Knoll,725,18.28172112,-66.03705597
14553,Caguas,Puerto Rico,Willa,Potter,Consumer,PR,5301 Blue Street,725,18.23458481,-66.03705597
14287,Caguas,Puerto Rico,Alma,Delgado,Consumer,PR,7274 Middle Wynd,725,18.25249672,-66.03704834
13179,Caguas,Puerto Rico,Ila,Knight,Consumer,PR,2668 Velvet Row ,725,18.25508499,-66.03705597
13035,Caguas,Puerto Rico,Belle,Booker,Consumer,PR,567 Fallen Pines ,725,18.28042221,-66.0370636
14322,Caguas,Puerto Rico,Alyssa,Contreras,Consumer,PR,9870 Little Hickory Loop,725,18.23288918,-66.0370636
13196,Caguas,Puerto Rico,Lani,Nash,Consumer,PR,5763 Green Crossing ,725,18.22864342,-66.0370636
14604,Caguas,Puerto Rico,Demetria,Jarvis,Consumer,PR,4854 Tawny Cove,725,18.29532433,-66.03705597
12961,Caguas,Puerto Rico,Joan,Nixon,Consumer,PR,8297 Golden Green ,725,18.24217796,-66.0370636
14676,Caguas,Puerto Rico,Gay,Harper,Consumer,PR,7293 Lazy Hill,725,18.25569725,-66.0370636
14087,Caguas,Puerto Rico,Audrey,Acosta,Consumer,PR,8967 Sleepy Lane,725,18.26639938,-66.0370636
13194,Caguas,Puerto Rico,Riley,Jones,Consumer,PR,6370 Emerald Row ,725,18.23524284,-66.03705597
14513,Caguas,Puerto Rico,Imani,Kelly,Consumer,PR,3065 Foggy Horse Port,725,18.25786781,-66.03705597
13461,Caguas,Puerto Rico,Mechelle,Parker,Consumer,PR,1393 Umber Sky Estates,725,18.22337914,-66.03705597
14510,Caguas,Puerto Rico,Imani,Castaneda,Consumer,PR,5493 Burning Horse Heath,725,18.23107529,-66.03705597
13190,Caguas,Puerto Rico,Whitney,Henderson,Consumer,PR,529 Blue Grove Rise,725,18.26862907,-66.03705597
14508,Caguas,Puerto Rico,Roanna,Martin,Consumer,PR,4462 Little Lagoon Route,725,18.22708893,-66.0370636
14472,Caguas,Puerto Rico,Vivian,Hays,Consumer,PR,9854 Jagged Impasse,725,18.23437882,-66.03705597
14562,Caguas,Puerto Rico,Xantha,Brock,Consumer,PR,5336 Sleepy Sky Common,725,18.29236603,-66.0370636
13206,Caguas,Puerto Rico,Zia,Davis,Consumer,PR,3836 Blue Brook Stead,725,18.21356773,-66.0370636
13080,Caguas,Puerto Rico,Mara,Duffy,Consumer,PR,4896 Honey Wood ,725,18.2920475,-66.0370636
14633,Caguas,Puerto Rico,Sloane,Long,Consumer,PR,4592 Grand Timber Ramp,725,18.24609184,-66.0370636
14097,Caguas,Puerto Rico,Winifred,Alexander,Consumer,PR,146 Middle Terrace,725,18.20939446,-66.03705597
13024,Caguas,Puerto Rico,Giselle,Farrell,Consumer,PR,3710 Little Nook ,725,18.29184341,-66.03704834
778,Caguas,Puerto Rico,John,Buckley,Consumer,PR,9598 Cinder Close,725,18.2275734,-66.0437088
7146,Caguas,Puerto Rico,Nancy,Curry,Consumer,PR,6998 Old Treasure Crossing,725,18.28542137,-66.37056732
6365,Caguas,Puerto Rico,Mary,Smith,Consumer,PR,100 Jagged Cloud Pathway,725,18.24692345,-66.37057495
8422,Caguas,Puerto Rico,Wayne,Crawford,Consumer,PR,8110 Old Place,725,18.23379898,-66.37056732
3784,Caguas,Puerto Rico,Mary,Sharp,Consumer,PR,9221 Cotton Butterfly Terrace,725,18.23220825,-66.37062836
10519,Caguas,Puerto Rico,Mary,Smith,Consumer,PR,4110 Quaking Abbey,725,18.26521111,-66.37055206
7132,Caguas,Puerto Rico,David,Guerra,Consumer,PR,6574 Shady Horse Wood,725,18.28570366,-66.37050629
3709,Caguas,Puerto Rico,Mary,Padilla,Consumer,PR,4555 Amber Apple Cape,725,18.2968502,-66.37062836
1509,Freeport,EE. UU.,Patricia,Petersen,Consumer,NY,3675 Emerald Goose Bank,11520,40.65486527,-73.58707428
1636,Fort Washington,EE. UU.,Julie,Petersen,Consumer,MD,9375 Harvest Circuit,20744,38.74266434,-76.9917984
2784,Bakersfield,EE. UU.,Lisa,Smith,Consumer,CA,3993 Thunder Hills Port,93304,35.36254501,-119.0186996
9174,Corona,EE. UU.,Tyler,Smith,Consumer,NY,9414 Thunder Island Court,11368,40.74210739,-73.86962128
122,Cincinnati,EE. UU.,Karen,Smith,Consumer,OH,7573 Cozy Goose Road,45238,39.28849411,-84.3551178
3800,Germantown,EE. UU.,Shawn,Smith,Consumer,MD,5985 Silent Leaf Vale,20874,39.1836586,-77.26545715
10029,Carrollton,EE. UU.,Mary,Silva,Consumer,TX,1230 Crystal Lookout,75006,32.96593094,-96.84902191
2805,Houston,EE. UU.,Willie,Smith,Consumer,TX,6350 Lost Hollow,77093,29.83435631,-95.33792877
12253,Carlisle,EE. UU.,Mary,Chan,Consumer,PA,4898 Red Butterfly Autoroute,17013,40.2372818,-76.96795654
3528,Los Angeles,EE. UU.,Nicole,Brooks,Consumer,CA,7312 Crystal Willow Villas,90023,34.20339966,-118.6059036
11018,Ewa Beach,EE. UU.,Bruce,Smith,Consumer,HI,9595 Blue Promenade,96706,21.31185532,-158.0046844
3222,Lakewood,EE. UU.,Mary,Williams,Consumer,NJ,1790 Noble Brook Run,8701,40.09635925,-74.21524048
6246,Rome,EE. UU.,Melissa,Ramirez,Consumer,NY,2459 Round Spring Towers,13440,43.21662521,-75.45603943
8741,Vista,EE. UU.,Gregory,Smith,Consumer,CA,690 Colonial Pine Passage,92083,33.21121979,-117.2510605
8050,Fort Worth,EE. UU.,Elizabeth,Smith,Consumer,TX,739 Jagged Goose Street,76106,32.8013916,-97.3302536
5474,Fond Du Lac,EE. UU.,Mary,Sanchez,Consumer,WI,29 Gentle Spring Mews,54935,43.78569031,-88.47438049
474,Philadelphia,EE. UU.,Mary,Patton,Consumer,PA,5532 Tawny Pines,19139,39.79661942,-75.47006989
12255,Ontario,EE. UU.,Mary,Davis,Consumer,CA,4502 Hazy Run,91764,34.07656479,-117.61409
10288,Oviedo,EE. UU.,Mark,Smith,Consumer,FL,6026 Stony Elk Hill,32765,28.62217712,-81.20755768
4717,Buffalo,EE. UU.,Mary,Sanders,Consumer,NY,4903 Lazy Parkway,14221,42.9666214,-78.74194336
4799,Honolulu,EE. UU.,Paul,Jensen,Consumer,HI,3902 Foggy Swale,96822,21.30562019,-157.8386993
4533,Oceanside,EE. UU.,Walter,Chavez,Consumer,CA,990 Dewy Crest,92056,33.18587494,-117.3658524
12383,North Tonawanda,EE. UU.,Joyce,Phillips,Consumer,NY,9899 Hazy Falls,14120,43.02910233,-78.87342072
3518,Clovis,EE. UU.,Daniel,Smith,Consumer,CA,7449 Merry Chase,93611,36.82690048,-119.6776962
4674,Jamaica,EE. UU.,Mary,Lynn,Consumer,NY,7694 Velvet Turnabout,11434,40.70170975,-73.80841827
8519,Granite City,EE. UU.,Pamela,Michael,Consumer,IL,1585 Stony Rabbit Hollow,62040,38.69002152,-90.14477539
5302,Medford,EE. UU.,Betty,Smith,Consumer,MA,2289 Cozy Promenade,2155,42.41968918,-71.10621643
3594,Pomona,EE. UU.,Mary,Smith,Consumer,CA,830 Clear Sky Vale,91766,34.04991913,-117.7161026
9890,Tempe,EE. UU.,Christian,Luna,Consumer,AZ,2833 Clear Valley,85281,33.41519928,-111.9199905
1410,Santa Ana,EE. UU.,Mary,Smith,Consumer,CA,4682 Cozy Freeway,92703,33.74279404,-117.8847504
7521,York,EE. UU.,Mary,Ortega,Consumer,PA,4196 Noble Beacon Mews,17402,39.9602356,-76.67675781
2106,Aurora,EE. UU.,Mary,Grimes,Consumer,CO,231 Bright Alley,80010,39.74543381,-104.8753815
8144,Simi Valley,EE. UU.,Mary,Summers,Consumer,CA,3926 Stony Gardens,93065,34.27391052,-118.7662125
5643,Silver Spring,EE. UU.,Tiffany,Caldwell,Consumer,MD,3632 Fallen Pioneer Isle,20904,39.04636002,-76.98272705
2041,Saint Paul,EE. UU.,Paul,Garcia,Consumer,MN,1070 Dusty Beacon Maze,55124,44.72552109,-93.20613098
7537,San Antonio,EE. UU.,Stephen,Lee,Consumer,TX,469 Crystal Anchor Mountain,78201,29.45598984,-98.52809143
3056,Philadelphia,EE. UU.,George,Middleton,Consumer,PA,3601 Cozy Creek Trail,19143,39.95672989,-75.19525909
7967,Philadelphia,EE. UU.,Samuel,Jones,Consumer,PA,7007 Quiet Via,19149,40.03775024,-75.06806183
1758,Bronx,EE. UU.,Larry,King,Consumer,NY,2515 Burning Boulevard,10466,40.86353684,-73.87049866
7884,Greenville,EE. UU.,Peter,Smith,Corporate,NC,2127 Cozy Deer Bank,27858,35.60034943,-77.33486939
289,Morristown,EE. UU.,Diana,Richards,Corporate,NJ,3593 Easy Embers Field,7960,40.80119324,-74.48561096
10081,San Diego,EE. UU.,Mary,Castillo,Corporate,CA,9900 Hidden Rise Downs,92115,32.77627945,-117.1342163
1169,Oxnard,EE. UU.,Mary,Smith,Corporate,CA,1055 Crystal Woods,93030,34.19039154,-119.177803
1182,Miami,EE. UU.,Mary,Smith,Corporate,FL,5365 Tawny Apple Limits,33147,25.82507515,-80.19588471
717,Albuquerque,EE. UU.,Mary,Camacho,Corporate,NM,4845 Thunder Embers Hollow,87111,35.13143921,-106.5452042
20423,Amarillo,EE. UU.,Ainsley,Leach,Corporate,TX,5154 Honey Bend,79109,35.18754196,-101.8676224
5801,Lutz,EE. UU.,Theresa,Pearson,Corporate,FL,6715 Gentle Horse Row,33549,28.08681297,-82.43898773
702,Bend,EE. UU.,Cynthia,Smith,Corporate,OR,6412 Crystal View Townline,97701,44.07210541,-12.13232708
6951,East Brunswick,EE. UU.,Mary,Williams,Corporate,NJ,263 Harvest Wood,8816,40.41255188,-74.41832733
6780,Lancaster,EE. UU.,Sean,Chung,Corporate,SC,7111 Cotton Blossom Estates,29720,34.85777283,-80.84423828
6422,Ontario,EE. UU.,Jonathan,Richmond,Corporate,CA,3005 Bright Maze,91762,34.06832504,-117.6557541
5384,Houston,EE. UU.,Christopher,Smith,Corporate,TX,5657 Lost Expressway,77015,29.7805748,-95.17199707
2985,Hampton,EE. UU.,Donald,Price,Corporate,VA,183 Velvet Grove Towers,23666,37.05174255,-76.40163422
18349,New York,EE. UU.,Rana,Moreno,Corporate,NY,2275 Rustic Impasse,10016,40.74559021,-73.97927856
11286,Porterville,EE. UU.,Mary,Garcia,Corporate,CA,8279 Bright Fox Highway,93257,35.93829727,-118.9438477
489,Portland,EE. UU.,William,Smith,Corporate,OR,2792 Middle Mount,97223,45.59825897,-12.27242851
4510,Strongsville,EE. UU.,Rachel,Cochran,Corporate,OH,6414 Jagged Sky Gardens,44136,41.3469696,-81.82631683
